Municípios,Nome do Imóvel,Data,Área,Famílias,Organização
Jucuruçu,Faz. Pedra Redonda/Acamp. Bruna Araújo,28/10/2015,1300,230,MST
Jussari,Faz. Olímpio/Lembrança,18/04/2015,,150,MST
Maraú,Fazenda Esperança,30/12/2015,300,30,Ceta
Marcionílio Souza,Lagoa do Peixe/Itapuã,21/11/2015,,100,Ceta
Nordestina,Fazenda Nordestina,18/04/2015,,150,MST
Nova Ibiá,Fazenda Conjunto São Rafael,18/04/2015,,100,MST
Potiraguá,Fazenda Olinda,18/04/2015,1800,100,MST
Prado,Fazenda Nedila,21/09/2015,,60,Índios
Santa Brígida,Fazenda Marruá/Marruage,18/04/2015,350,100,MST
Santa Brígida,Fazenda Saco da Arará,18/04/2015,,100,MST
Santa Luzia,Fazenda Santa Maria,18/04/2015,,150,MST
São Desidério,Fazenda Desidério,18/04/2015,2430,100,MST
São Sebastião do Passé,Área da Ceplac,18/04/2015,,150,MST
Teixeira de Freitas,Faz. São Benedito/Grupo JU Úngaro,31/07/2015,1500,280,MST
Teodoro Sampaio,Fazenda Gameleira,18/04/2015,700,100,MST
Ubatã,Fazenda Nova Olinda,30/08/2015,138,20,Ceta
Una,Fazenda Vila Toscana,23/06/2015,500,20,Índios
Uruçuca,Faz. Conjunto São Miguel/Manoel,18/05/2015,450,38,MST
Vitória da Conquista,Fazenda do Dezinho,18/04/2015,,150,MST
Subtotal:,34,,32098,3666,
Ceará,,,,,
Caucaia,Área Japura/ T. I. Anacé,30/03/2015,,65,Índios
Municípios,Nome do Imóvel,Data,Área,Famílias,Organização
Distrito Federal,,,,,
Brasília,Fazenda Adeluca,10/03/2015,,100,MST
Brazlândia,"Granjas Localizadas na Faz. Aroeira/ReservaN/Incra 8",14/11/2015,12,200,MST
Brazlândia,Fazenda da Antárctica,14/11/2015,,200,MST
Paranoá,Fazenda Umburana,30/05/2015,,60,OI
Subtotal:,4,,12,560,
Espírito Santo,,,,,
Aracruz,Fazenda Agril/Aracruz Celulose,20/11/2015,8000,150,"MST/Pescadores"
Linhares,Faz. Volta Grande/Nossa Senhora da Conceição,09/03/2015,,60,MST
Linhares,Área em Panhal/Linhares,04/05/2015,415,30,MST
Subtotal:,3,,8415,240,
Goiás,,,,,
Alto Paraíso de Goiás,Área em Alto Paraíso de Goiás,05/07/2015,,10,OI
Amaralina,Fazenda Sucupira,22/05/2015,7000,300,MST
Caçu,Fazenda Serra Azul,17/04/2015,,130,Terra Livre
Caiapônia,Faz. São Francisco/Acamp. Torres do Rio Bonito,20/08/2015,,60,SI
Campo Alegre de Goiás,Fazenda Canadá,08/09/2015,900,500,MCP/ MST
Corumbá de Goiás,Agropecuária Santa Mônica,21/06/2015,20000,3500,MST
Faina,Fazenda de Cima/Capim Puba/Campo Limpo,31/10/2015,2000,150,Terra Livre
Faina,Fazenda Solo Sagrado,11/12/2015,600,180,Terra Livre
Itajá,Faz. Sta. Helena/Bálsamo/Córrego das Almas,12/04/2015,600,130,Terra Livre
Jaraguá,Fazenda São Francisco Curralinho,27/03/2015,1454,140,Terra Livre
Jataí,Fazenda Campolina,08/11/2015,,200,Terra Livre
Quirinópolis,Fazenda  Lajeado Furnas,27/03/2015,5000,150,Terra Livre
Quirinópolis,Fazenda Sete Lagoas,03/04/2015,700,120,Terra Livre
Santa Helena de Goiás,Usina Santa Helena,22/09/2015,,1000,MST
São João da Aliança,Fazenda Cerrado,20/02/2015,,120,FNL
São João da Aliança,Fazenda Jatobá,20/02/2015,,40,FNL
São João da Aliança,Fazendinha,20/02/2015,,40,FNL
São João da Aliança,Fazenda Isabel,20/02/2015,,40,FNL
São João da Aliança,Fazenda Cachorro Morto,20/02/2015,,40,FNL
Subtotal:,19,,38254,6850,
Maranhão,,,,,
Alto Alegre do Maranhão,Gleba Campo do Bandeira/Arame,16/04/2015,1485,72,Fetaema
Amarante do Maranhão,"Gleba Sítio Novo/Faz. São Francisco/Acamp.Egídio Brunetto",15/08/2015,,150,MST
Palmeirândia,Quilombo Cruzeiro,26/08/2015,735,,Quilombolas
Viana,"Povo Gamela de Taquaritiua/Centro doAntero/Nova Vila/Tabocal",30/11/2015,10369,100,Índios
Subtotal:,4,,12589,322,
Mato Grosso,,,,,
Cáceres,Fazenda Rancho Verde,09/03/2015,,60,MST
Canabrava do Norte,"Área Furnas/Beira do Rio Fontoura/Canabrava doNorte",04/12/2015,,5,OI
Glória do Oeste,Faz. Mutum/Glória do Oeste,20/07/2015,2600,300,MST
Itaúba,Fazenda Raiter,11/03/2015,,,MST
Itaúba,Fazenda Raiter,05/09/2015,9000,120,MST
Jaciara,Fazenda Nossa Senhora Aparecida,13/07/2015,2186,600,MST
Jaciara,Área da Prefeitura/Jaciara,13/10/2015,250,800,MST
Luciara,T.I. Porto Velho/Kanela do Araguaia,24/06/2015,,30,Índios
Novo Mundo,Gleba Nhandu/Faz. Recanto/Cinco Estrelas,23/09/2015,211750,70,OI
Novo Mundo,"Faz. Araúna/Acamp. Nova Esperança/GlebaNhandu",11/07/2015,,100,OI
Rondonópolis,Fazenda Vila Rica,24/08/2015,,150,MST
Subtotal:,11,,225786,2235,
Mato Grosso do Sul,,,,,
Amambaí/Coronel Sapucaia,"Faz. Madama/Kurussu Ambá/Acamp. às margensda MS-289",22/06/2015,2181,50,Índios
Amambaí/Ponta Porã,Acamp. Tekoha Guaiviry/MS-386,24/06/2015,,60,Índios
Antônio João,"Nhanderu Marangatu/Fronteira/Morro Alto/ItaBSB/Pequiri Sta.Creuza/Primavera/Pedro/Barra/Soberania",22/08/2015,9300,150,Índios
Aquidauana,Faz. Esperança/T. I. Taunay Ipegue,27/07/2015,,,Índios
Aquidauana,Faz. Maria do Carmo/T. I. Taunay Ipegue,27/07/2015,,,Índios
,Faz. Cristalina/T. I. Taunay Ipegue,27/07/2015,,60,Índios
Municípios,Nome do Imóvel,Data,Área,Famílias,Organização
Aquidauana,Faz. Ouro Preto/T. I. Taunay Ipegue,27/07/2015,,80,Índios
Aquidauana,Faz. Persistência/T. I. Taunay Ipegue,27/07/2015,,100,Índios
Aral Moreira,Fazenda Três Poderes,24/06/2015,,30,Índios
Aral Moreira,Fazenda Água Branca,24/06/2015,,30,Índios
Iguatemi,Tekohá Mbaraka'y-Pyelito Kue/Guarani Kaiowá,16/09/2015,,20,Índios
Nova Andradina,Fazenda Saco do Céu,21/08/2015,5200,1000,MST
Paranhos,"T. I. Protero Guasu/Faz. Jatobá/Ouro Verde/NovaF r o n  te  ir a",05/08/2015,4000,50,Índios
Sidrolândia,"Faz. Santa Olinda/Us. Sucroenergética AgrisulAgrícola",10/01/2015,9000,100,MST
Sidrolândia,Capão Bonito,04/07/2015,,80,SI
Terenos,Fazenda Limeira,28/06/2015,3900,300,MAF
Subtotal:,16,,33581,2110,
Minas Gerais,,,,,
Buritizeiro,Faz. Sto. Antônio/Carboreta/T. I. Tuxá,20/11/2015,6525,65,Índios
Francisco Dumont,Fazenda Cipó,16/05/2015,,50,MST
Grão Mogol,"Faz. Rio Rancho/Com. Geraizeiros do Vale dasCancelas",13/12/2015,6434,230,ARPCT*/ MG*
Jequitinhonha,Fazenda Aurora Dois,03/05/2015,,145,MST
Matias Cardoso,"Quilombo da Praia/Vale do Médio SãoFrancisco/Vila Bela",05/07/2015,,96,Quilombolas
Patrocínio,Área em Patrocício,18/04/2015,,10,MST
Salto da Divisa,Fazenda Talismã/Farpão,15/09/2015,,45,MST
Tumiritinga,Faz. Casa Branca/Emp. Fibria,05/07/2015,1016,200,MST
Uberlândia,Fazenda Santa Rita,18/10/2015,,120,MST
Varzelândia,"Área da Família dos Clementes/Quil. Brejo dosCrioulos",10/10/2015,,30,Quilombolas
Verdelândia,"Com. Quil. Nativa do Arapuim/Faz. Torta MorroPreto",28/11/2015,,86,Quilombolas
Veríssimo,Faz. São José do Rio do Peixe,15/04/2015,,45,MST
Subtotal:,12,,13975,1122,
Pará,,,,,
Benevides,Fazenda Sopalme,26/06/2015,,260,MST
Canaã dos Carajás,Faz. Cariri I/P.A. Carajás II/Vale,15/06/2015,,60,Fetagri/PA/ STR
Canaã dos Carajás,Faz. Cariri II/P.A. Carajás II/Vale,15/06/2015,,30,STR
Marabá,Fazenda São João,10/02/2015,,50,Fetagri/PA
Ourilândia do Norte,Fazenda Três Marias,20/04/2015,,100,STR
Piçarra,Faz. Três Marias,01/07/2015,,80,Fetagri/PA/ STR
Santana do Araguaia,Faz. Mabel/Nobel/Acamp. Brasil Novo,01/09/2015,,45,Fetagri/PA/ STR
Subtotal:,7,,0,625,
Paraíba,,,,,
Mogeiro,Faz. Fazendinha/Com. Estação,19/04/2015,,50,OI
Pedras de Fogo,Faz. Santa Emília/Us. Giasa,09/03/2015,100,90,MST
São José dos Ramos,Faz. São José/Pau-a-Pique/São José dos Ramos,29/06/2015,1100,80,OI
Subtotal:,3,,1200,220,
Paraná,,,,,
Alvorada do Sul,"Faz. Itaverá/Grupo Atalla/Us. Central do ParanáS.A.",01/05/2015,1000,60,MST
Borrazópolis,Fazenda da Ilha,23/01/2015,,,Contag
Borrazópolis,Fazenda da Ilha,19/06/2015,1028,60,Contag
Castro,Fazenda Capão Cipó,24/08/2015,300,150,MST
Centenário do Sul,Faz. Tabapuã/Us. do Grupo Atalla,16/01/2015,2463,,MST
Centenário do Sul,Faz. Promissão/Grupo Atalla,20/07/2015,250,40,SI
Centenário do Sul,Faz. São José/Grupo Atalla,20/07/2015,505,40,SI
Centenário do Sul,Faz. Cachoeira/Grupo Atalla,20/07/2015,964,40,SI
Guaraci,Faz. Nossa Senhora de Fátima,03/05/2015,,20,Contag
Guarapuava,Faz. Lajeado/Santa Isabel,13/09/2015,570,40,SI
Itaipulândia,Área do Estado/Tekoha Aty Mirim/T. I. Guarani,31/01/2015,,45,Índios
Jardim Alegre,Fazenda Araponga,17/01/2015,,80,MST
Londrina,Fazenda Figueira,17/08/2015,3358,1390,MST
Londrina,Fazenda Marília,28/11/2015,200,550,MST
Mangueirinha,Faz. Covozinho/Ind. Sudati e Guararapes,18/04/2015,,40,MST
Marechal Cândido Rondon,"Área no Distrito Porto Mendes/Linha Apepú/AldeiaDiamante do Oeste/Povo Guarani",13/04/2015,,45,Índios
Quedas do Iguaçu,"Parte da Faz. da Araupel/Projeto Quatro/Acamp.Dom Tomás Balduino",06/07/2015,,1500,MST
,Tekoha Ete Dois Irmãos/ Área da Empresa Itaipu,30/06/2015,1,3,Índios
Municípios,Nome do Imóvel,Data,Área,Famílias,Organização
Tamarana,Fazenda  Água Branca,15/10/2015,,1300,MST
Subtotal:,19,,10639,5403,
Pernambuco,,,,,
Água Preta,Engenho Alegrete,04/08/2015,,300,MST
Águas Belas,Fazenda Cordeiro,25/07/2015,1000,100,MST
Belmonte,Área em Belmonte,15/04/2015,,130,MST
Brejo da Madre de Deus,Fazenda Nova Esperança,27/09/2015,,100,MST
Cabrobó,Fazenda Sossego,15/04/2015,,180,MST
Caruaru,Área em Caruaru,15/04/2015,,200,MST
Condado,Engenho Condadinho,15/04/2015,,120,MST
Cortês,Área em Cortês,15/04/2015,,70,MST
Gravatá,Área em Gravatá,15/04/2015,,110,MST
Inajá,Área em Inajá,15/04/2015,,80,MST
Itaquitinga,Área em Itaquitinga,15/04/2015,,130,MST
Palmares,Área em Palmares,15/04/2015,,150,MST
Petrolândia,Área da Chesf,15/04/2015,,200,MST
Subtotal:,13,,1000,1870,
Rio Grande do Sul,,,,,
Boa Vista do Incra,Área em Boa Vista do Incra,13/11/2015,540,150,MTEM
Candiota,Fazenda Aroeira,09/11/2015,352,20,MST
Canela,T. I. Kaingang/Floresta Nacional de Canela,25/07/2015,,,Índios
Capão do Leão/Pelotas,Faz. Santana/Colônia de Pescadores Z-3,18/10/2015,7000,200,"MST/Pescadores"
Coqueiros do Sul/Tapes,Faz. Guerra/Coqueiros,16/04/2015,7000,1500,MST
Cruz Alta,Antiga Área da Varig,19/05/2015,104,37,MST
Hulha Negra,Faz. Nossa Senhora Aparecida,10/11/2015,300,15,MST
Santana do Livramento,Área na Com. Madureira,18/10/2015,500,400,MST
São Lourenço do Sul,Fazenda Sol Agrícola,18/10/2015,750,400,MST
Subtotal:,9,,16546,2722,
Rondônia,,,,,
Alto Paraíso,"Faz. Santo Antônio/Gleba 06 de Julho/Acamp.Paulo Justino",01/11/2015,,25,SI
Chupinguaia,"Área Próxima ao Distrito de Guaporé/Faz. doM a r c  i",17/11/2015,1700,35,LCP
Monte Negro,"Faz. Fluminense/Acamp. Luís Carlos/Linha25/Gleba Rio Alto",01/11/2015,,30,LCP
Pimenta Bueno,"Gl. Corumbiara/Lt 88/Linha 45/Setor 3/Acamp.Rancho Alegre 2",12/08/2015,2068,40,SI
Vilhena,Fazenda Vilhena do Pensamento,11/07/2015,40000,73,ATR
Subtotal:,5,,43768,203,
Roraima,,,,,
Boa Vista,"Gleba Murupu/Com. Baixadão do Bem-Te-Vi/Reg.Bom Intento",09/03/2015,,37,OI
Subtotal:,1,,0,37,
Santa Catarina,,,,,
Passos Maia,Fazenda Indomel,18/04/2015,40,300,MST
Três Barras,Área em Campininha,31/05/2015,,60,MST
Subtotal:,2,,40,360,
São Paulo,,,,,
Agudos,Faz. N. Sra. de Fátima,21/06/2015,,15,FNL
Avaí,Fazenda Santo Antônio,19/09/2015,,250,FNL
Borebi/Iaras,"Faz. Capim/Santo Henrique/NúcleoMonções/Cutrale",02/08/2015,2700,200,MST
Cafelândia,Área da Empresa Revati no Distrito de Buriti,30/04/2015,,180,MST
Dracena,Usina Dracena,20/01/2015,,15,FNL
Gália,Fazenda Recreio,17/01/2015,,78,MPST
Marabá Paulista,Fazenda Nazaré,05/08/2015,5200,25,MST
Marabá Paulista,Fazenda Floresta,25/06/2015,,15,FNL
Marabá Paulista,Faz. São Luiz/Grupo Sucroalcooleiro Decasa,20/01/2015,,,FNL
Marabá Paulista,Fazenda Nova Prata,04/06/2015,,20,FNL
Paulicéia,Faz. na Vicinal Carvalho Sobrinho,10/01/2015,,6,MST
Pindamonhangaba,"Área da Agência de Tecnologia do Agronegócio -APTA",23/03/2015,,45,MST
Piquerobi,Fazenda Rio Negro,31/05/2015,,30,FNL
Piratininga,Fazenda Santa Francisca,30/05/2015,,180,FNL
Presidente Venceslau,Usina Decasa,20/01/2015,,,FNL
,Destilaria Santa Fany,20/01/2015,,20,FNL
Municípios,Nome do Imóvel,Data,Área,Famílias,Organização
Santo Anastácio,Us. Alvorada do Oeste/Agrícola Monções,20/01/2015,,50,FNL
Serra Azul/Serrana,Usina Nova União/Área do Estado,16/04/2015,,200,MST
Serrana,Faz. Martinópolis/Usina Nova União,17/03/2015,,,MST
Serrana,Faz. Martinópolis/Usina Nova União,16/04/2015,,,MST
Serrana,Faz. Martinópolis/Usina Nova União,08/08/2015,,380,MST
Subtotal:,21,,7900,1709,
Tocantins,,,,,
Araguatins,Faz. Santo Hilário/Acamp. Alto da Paz,02/05/2015,120,150,MST
Nova Olinda,Faz. Santa Maria/Gleba Anajá/Pombas,17/04/2015,112,29,OI
Palmeirante,Loteamento Pomba/Faz. CLT77P.77P1,29/10/2015,,20,OI
Subtotal:,3,,2321,199,
