Estado,Municípios,Característica,Nome da Manifestação,Nome da Manifestação 2,Data,No de Participantes,Tipo de Trabalho,Tipo de Reivindicação,Type of Claim,Claim Category,Tipo de Violência,Type of Violence
Alagoas,Porto Calvo,,Bloqueio da BR-105 Norte c,"AL-105
Norte",16/12/2004,,,Desapropriação,Expropriation,Property,,
Alagoas,Porto Calvo,,Bloqueio na AL-101,,26/02/2004,260,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,Property,,
Alagoas,Porto Calvo,,Bloqueio na AL-101,,18/08/2004,350,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,Property,,
Alagoas,Porto Calvo,,Bloqueio na AL-101,,14/11/2004,200,,Desapropriação/ Cesta básica,Expropriation/Basic Basket,Welfare,,
Alagoas,Porto Real do Colégio,,Bloq. na BR-101,,26/04/2004,200,,Renegociação de dívidas,Renegotiation of debts,Wages,,
Alagoas,Porto Real do Colégio,,"Bloq. Contra Transposição do São
Francisco",,14/10/2004,300,,Contra privatização da água,Against privatization of water,Public Policies,,
Bahia,Arataca,,Bloq. na BR-101,Faz. Santa Luzia,10/07/2004,150,,Desapropriação,Expropriation,Property,,
Bahia,Eunápolis,,Bloq. BA-683,Faz. Sta. Maria,25/10/2004,400,,Desapropriação,Expropriation,Property,,
Bahia,Ilhéus,,Bloqueio na BR-415,,16/05/2004,200,,Desapropriação,Expropriation,Property,,
Bahia,Itabela,,Bloq. na BR-101,Tribo Pataxó,19/10/2004,300,,Demarcação de área indígena,Demarcation of indigenous area,Indigenous Issues,,
Bahia,Itabuna,,Bloq. na BR-101,Acamp. 1o de Maio,06/08/2004,200,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,Land Reform,,
Ceará,Canindé,,Bloqueio da BR-020,,13/07/2004,1500,,Crédito/ Incentivos à pequena produção,Small Production Credit/Incentives,Public Policies,,
Distrito Federal,Planaltina,,Bloq. da BR-020,Faz. Toca da Raposa,10/11/2004,350,,Desapropriação/ Questões ambientais,Expropriation/Environmental issues,Environment,,
Espírito Santo,Mimoso do Sul,,Bloqueio da ES-297,,13/05/2004,200,,Desapropriação/ Assentamento de famílias,Expropriation/Settlement of families,Property,,
Espírito Santo,São Mateus,,Bloqueio da BR-101,Aracruz,08/03/2004,700,,Regularização fundiária/ Contra monocultura,Land regularization/Against monoculture,Land Reform,,
Goiás,Uruaçu,,Bloq. da BR-153,Serra da Mesa,17/03/2004,1000,,Crédito/ Cesta básica/ Indenização,Credit/Basic Basket/Indemnity,Welfare,,
Maranhão,Arame,,Bloq. da MA - 006,Aldeia Ind. Caruru,25/05/2004,20,,Contra Desmatamento,Against Deforestation,Deforestation,,
Maranhão,Barra do Corda,,Bloqueio da BR-226,Km 320,24/01/2004,100,,Direitos humanos,Human rights,Human Rights,,
Mato Grosso,,,Bloqueio da BR-158,"Aldeia
Marãiwatsedé",01/08/2004,480,,Saúde/ Demarcação de área indígena,Indigenous Area Health/Demarcation,Indigenous Issues,,
Mato Grosso,Cáceres,,Bloqueio da BR-174,"Acamp. Rosa
Luxemburgo",19/04/2004,500,,Desapropriação/ Contra a injustiça e a violência/ Contra impunidade,Expropriation/Against injustice and violence/Against impunity,Injustice,,
Mato Grosso,Cáceres,,Bloqueio da BR-070,Jornada de Luta,19/04/2004,700,,Desapropriação/ Contra a injustiça e a violência/ Contra impunidade,Expropriation/Against injustice and violence/Against impunity,Injustice,,
Mato Grosso,Cáceres,,Bloqueio de Rodovias,"Acamp. Lourival
Abich",20/05/2004,800,,Desapropriação/ Cumprimento de acordos,Expropriation/Compliance,Property,,
Mato Grosso,Cáceres,,Bloqueio da BR-174,"Faz. Santa
Amélia",20/05/2004,700,,Cumprimento de acordos/ Reforma Agrária,Compliance/Agrarian Reform,Land Reform,,
Mato Grosso,Campo Verde,,Bloqueio da BR-070,,20/10/2004,400,,Desapropriação/ Cumprimento de acordos,Expropriation/Compliance,Property,,
Mato Grosso,Campo Verde,,Bloqueio da BR-070,"Faz. Boa
esperança",17/08/2004,300,,Desapropriação/ Cumprimento de acordos,Expropriation/Compliance,Property,,
Mato Grosso,Chapada dos Guimarães,,Bloqueio da MT-251,"Faz. Cachoeira
Rica",05/03/2004,150,,Regularização fundiária/ Cumprimento de acordos,Land regularization/Compliance,Land Reform,,
Mato Grosso,Mirassol do Oeste,,Bloqueio da BR-174,"Acamp. Sílvio
Rodrigues",19/04/2004,500,,Desapropriação/ Contra a injustiça e a violência/ Contra impunidade,Expropriation/Against injustice and violence/Against impunity,Injustice,,
Mato Grosso,Nova Olímpia,,Bloqueio de Rodovia,"Acamp. Oziel
Pereira",26/01/2004,200,,Contra a injustiça e a violência,Against injustice and violence,Injustice,,
Mato Grosso,Peixoto de Azevedo,,Bloqueio da BR-163,,19/07/2004,1000,,Regularização fundiária/ Cumprimento de acordos,Land regularization/Compliance,Land Reform,,
Mato Grosso,Peixoto de Azevedo,,Bloqueio da BR-163,,21/07/2004,1000,,Regularização fundiária/ Cumprimento de acordos,Land regularization/Compliance,Land Reform,,
Mato Grosso,Peixoto de Azevedo,,Bloqueio da BR-163,,24/07/2004,1000,,Regularização fundiária/ Cumprimento de acordos,Land regularization/Compliance,Land Reform,,
Mato Grosso,Rio Branco,,Bloqueio de Rodovia,"Acamp. Pe. José
Ten Cate",26/01/2004,60,,Contra a injustiça e a violência,Against injustice and violence,Injustice,,
Mato Grosso,Sinop,,Bloqueio da BR-163,"Acamp. Nova
Aliança",29/01/2004,150,,Desapropriação/ Cumprimento de acordos/ Cesta básica,Expropriation/Compliance/Basic basket,Welfare,,
Mato Grosso,Várzea Grande,,Bloqueio da BR-164,"Acamp. Chico
Mendes",20/05/2004,200,,Desapropriação/ Cumprimento de acordos,Expropriation/Compliance,Property,,
Mato Grosso do Sul,Bataguassu,,Ato por Ref. Agrária,"Dia do
Trabalho",01/05/2004,,,Questões trabalhistas/ Reforma Agrária,Labor Issues/Agrarian Reform,Work Conditions,,
Mato Grosso do Sul,Corumbá,,Bloq. na BR-262,"Acamp. Grito pela
Terra",09/03/2004,400,,Desapropriação,Expropriation,Property,,
Mato Grosso do Sul,Corumbá,,Bloq. na BR-262,"Acamp. Grito pela
Terra",12/04/2004,400,,Desapropriação,Expropriation,Property,,
Mato Grosso do Sul,Corumbá,,Bloq. na BR-262,"Acamp. Grito pela
Terra",24/07/2004,400,,Desapropriação/ Cumprimento de acordos/ Cesta básica,Expropriation/Compliance/Basic basket,Welfare,,
Mato Grosso do Sul,Douradina,,Bloq. na MS-476,Lagoa Rica,19/11/2004,300,,Infra-estrutura,Infrastructure,Infrastructure,,
Mato Grosso do Sul,Dourados,,Bloq. da MS-156,Protesto Indígena,19/04/2004,5000,,Demarcação de área indígena,Demarcation of indigenous area,Indigenous Issues,,
Mato Grosso do Sul,Dourados,,Bloqueio da MS-156,,27/12/2004,60,,Saúde,Cheers,Health,,
Mato Grosso do Sul,Dourados,,Bloqueio da BR-463,,23/04/2004,50,,Sem Informação,No information,Other,,
Mato Grosso do Sul,Eldorado,,Bloqueio na BR-163,Saque,02/07/2004,400,,Cesta básica,Basic basket,Welfare,,
Mato Grosso do Sul,Ivinhema,,Bloq. da MS-141,Faz. Terra Prometida,09/11/2004,180,,Desapropriação,Expropriation,Property,,
Mato Grosso do Sul,Jardim,,Bloqueio da BR-267,,27/07/2004,100,,Desapropriação,Expropriation,Property,,
Mato Grosso do Sul,Naviraí,,Bloq. da MS-145,Faz. Araguaia,16/03/2004,200,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,Property,,
Mato Grosso do Sul,Nova Alvorada do Sul,,Ato por Ref. Agrária,"Dia do
Trabalho",01/05/2004,180,,Questões trabalhistas/ Reforma Agrária,Labor Issues/Agrarian Reform,Work Conditions,,
Mato Grosso do Sul,Almenara,,"Bloqueio de Estrada pela Reforma
Agrária",,10/11/2004,100,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,Land Reform,,
Mato Grosso do Sul,Araguari,,Bloqueio da BR-050,,10/11/2004,200,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,Land Reform,,
Mato Grosso do Sul,Betim,,Jornada Nacional de Luta,"Bloqueio da
Centro Atlântico",16/04/2004,400,,Desapropriação/ Contra impunidade,Expropriation/Against impunity,Property,,
Mato Grosso do Sul,,,"Bloqueio da BR-116 contra o
Massacre de Felisburgo",,21/11/2004,400,,Contra a injustiça e a violência/ Contra impunidade,Against injustice and violence/Against impunity,Injustice,,
Mato Grosso do Sul,Juatuba,,"Bloqueio da BR-050 contra o
Massacre de Felisburgo",,21/11/2004,150,,Contra a injustiça e a violência/ Contra impunidade,Against injustice and violence/Against impunity,Injustice,,
Mato Grosso do Sul,Montes Claros,,"Bloqueio da BR-251 contra o
Massacre de Felisburgo",,21/11/2004,50,,Contra a injustiça e a violência/ Contra impunidade,Against injustice and violence/Against impunity,Injustice,,
Pará,Castanhal,,Bloq. BR-316,Desap. Faz. Urucuzal,19/02/2004,1150,,Desapropriação,Expropriation,Property,,
Pará,Curionópolis,,Bloqueio da BR-153,"Gar. Serra
Pelada",14/04/2004,1000,,Indenização,Indemnity,Debt,,
Pará,Eldorado dos Carajás,,Bloq. na PA-150,Faz. Peruano,02/11/2004,1500,,Cesta básica,Basic basket,Welfare,,
Pará,Irituia,,Bloq. da Belém Brasília,Quintino Lira,12/04/2004,400,,Desapropriação/ Cesta básica,Expropriation/Basic Basket,Public Policies,,
Pará,Mãe do Rio,,Bloq. Belém Brasília,Faz. Reunidas,22/07/2004,400,,Desapropriação,Expropriation,Property,,
Pará,Marabá,,Bloq. PA-150,"Acamp.
Cabaceira",12/04/2004,50,,Desapropriação/ Contra a injustiça e a violência,Expropriation/Against injustice and violence,Injustice,,
Pará,Rondon do Pará,,Bloq. da PA-287,Marcha,12/04/2004,600,,Desapropriação/ Crédito,Expropriation/Credit,Property,,
Pará,Santa Bárbara do Pará,,Bloqueio da PA-391,Área da Denpasa,16/11/2004,,,Desapropriação,Expropriation,Property,,
Pará,Santa Isabel do Pará,,Bloq. BR-316,Marcha,09/04/2004,500,,Desapropriação/ Contra a injustiça e a violência,Expropriation/Against injustice and violence,Injustice,,
Pará,Santa Maria das Barreiras,,Bloq. BR-158,Faz. Inajaporã,11/06/2004,400,,Desapropriação/ Cesta básica,Expropriation/Basic Basket,Welfare,,
Pará,São Domingos do Capim,,Bloq. BR-316,Res. Indígena Tembé,23/08/2004,400,,Reassentamento,Resettlement,Indigenous Issues,,
Pará,,,Bloq. da Transamazônica,Marcha,12/04/2004,900,,Desapropriação,Expropriation,Property,,
Paraíba,Cajazeiras,,Bloq. BR-230,"Protesto contra Prisão
de Arlindo Salvador",19/08/2004,100,,Contra a injustiça e a violência,Against injustice and violence,Injustice,,
Paraíba,Cajazeiras,,Bloqueio da BR-230,,31/05/2004,1000,,Educação,Education,Education,,
Paraíba,Campina Grande,,Bloqueio da BR-230,"Distrito de São J.
da Mata",09/11/2004,500,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,Land Reform,,
Paraíba,Esperança,,Bloqueio BR-104 Norte,,28/05/2004,600,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,Land Reform,,
Paraíba,João Pessoa,,Bloqueio da BR-101,,09/11/2004,200,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,Land Reform,,
Paraíba,Patos,,Bloqueio BR-230,,09/11/2004,500,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,Land Reform,,
Paraná,Candói,,Bloq. BR-277,Faz. Campo Real,30/08/2004,1000,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,Land Reform,,
Paraná,Foz do Jordão,,Bloqueio da PR-662,Faz. Trombini,12/07/2004,300,,Desapropriação,Expropriation,Property,,
Paraná,Ponta Grossa,,Bloq. BR-376,Chacina em MG,20/12/2004,250,,Contra a injustiça e a violência,Against injustice and violence,Injustice,,
Pernambuco,Araçoiaba,,Bloq. PE-41,Eng. Prado,17/10/2004,1400,,Desapropriação/ Contra a injustiça e a violência/ Reforma Agrária,Expropriation/Against injustice and violence/Agrarian Reform,Injustice,,
Pernambuco,Bonito,,Bloqueio da PE-103,,20/04/2004,,,Reforma Agrária,Land reform,Land Reform,,
Pernambuco,Cabo de Santo Agostinho,,Bloq. BR-101,"Engs.
Olinda",05/03/2004,150,,Desapropriação,Expropriation,Property,,
Pernambuco,Cabo de Santo Agostinho,,Bloq.BR-101,Engs. Universo,06/06/2004,100,,Desapropriação,Expropriation,Property,,
Pernambuco,Cabo de Santo Agostinho,,Bloq. BR-101,"Engs.
Universo",12/10/2004,300,,Desapropriação,Expropriation,Property,,
Pernambuco,Cabo de Santo Agostinho,,Bloqueio da BR-101,,18/08/2004,150,,Desapropriação,Expropriation,Property,,
Pernambuco,Cabo de Santo Agostinho,,Bloqueio BR-101,Eng. Mauá,07/06/2004,100,,Desapropriação,Expropriation,Property,,
Pernambuco,Cabo de Santo Agostinho,,Bloqueio da BR-101,,13/10/2004,300,,Desapropriação,Expropriation,Property,,
Pernambuco,Caruaru,,Bloq. BR-104,Desap. Faz. Borba,19/07/2004,200,,Desapropriação,Expropriation,Property,,
Pernambuco,Caruaru,,Bloqueio da BR-104,,20/07/2004,100,,Desapropriação,Expropriation,Property,,
Pernambuco,Escada,,Bloq. BR-101,Engs. Universo,11/06/2004,50,,Desapropriação,Expropriation,Property,,
Pernambuco,Escada,,Bloqueio da BR-101,,13/08/2004,300,,Cesta básica/ Reforma Agrária,Basic basket/Agrarian Reform,Public Policies,,
Pernambuco,Gameleira,,Bloqueio da BR-101,,13/08/2004,800,,Cesta básica/ Reforma Agrária,Basic basket/Agrarian Reform,Public Policies,,
Pernambuco,Ipojuca,,Bloq. BR-101,Ref. Agrária,13/10/2004,300,,Desapropriação/ Cesta básica/ Reforma Agrária,Expropriation/Basic Basket/Agrarian Reform,Land Reform,,
Pernambuco,Panelas,,Bloqueio da PE-104,,10/03/2004,1500,,Desapropriação,Expropriation,Property,,
Pernambuco,Panelas,,Bloqueio da BR-104,Vistoria,02/10/2004,500,,Desapropriação,Expropriation,Property,,
Pernambuco,Pombos,,Bloqueio da BR-232,,06/04/2004,400,,Desapropriação,Expropriation,Property,,
Pernambuco,Quipapá,,Bloqueio da BR-104,,30/07/2004,100,,Reforma Agrária,Land reform,Land Reform,,
Pernambuco,Recife,,Bloqueio da entrada do Incra,,30/03/2004,300,,Desapropriação/ Infra-estrutura/ Cumprimento de acordos,Expropriation/Infrastructure/Compliance,Infrastructure,,
Pernambuco,Recife,,Grito da Terra,"Bloq.
Av.Caxangá",19/05/2004,500,,Crédito/ Cesta básica,Credit/Basic Basket,Welfare,,
Pernambuco,Recife,,Bloqueio da BR-104 e PE-117,,24/05/2004,1800,,Desapropriação,Expropriation,Property,,
Pernambuco,São Caitano,,Bloqueio da BR-232,,13/08/2004,600,,Cesta básica/ Reforma Agrária,Basic basket/Agrarian Reform,Welfare,,
Pernambuco,São José da Coroa Grande,,Bloq. da PE-60,Us. Central Barreiros,16/12/2004,150,,Desapropriação/ Contra a injustiça e a violência,Expropriation/Against injustice and violence,Injustice,,
Pernambuco,São José da Coroa Grande,,Bloqueio da PE-90,,18/08/2004,200,,Desapropriação,Expropriation,Property,,
Pernambuco,São José da Coroa Grande,,Bloqueio da PE-60,,31/05/2004,,,Crédito/ Cumprimento de acordos,Credit/Compliance,Wages,,
Pernambuco,São Lourenço da Mata,,Bloqueio da BR-408,,13/08/2004,800,,Cesta básica/ Reforma Agrária,Basic basket/Agrarian Reform,Welfare,,
Pernambuco,Vitória de Santo Antão,,Bloqueio BR-232,Vist. de 108 áreas,12/09/2004,300,,Desapropriação,Expropriation,Property,,
