Estado,Municípios,Característica,Nome da Manifestação,Nome da Manifestação 2,Data,No de Participantes,Tipo de Trabalho,Tipo de Reivindicação,Type of Claim,,Tipo de Violência,Type of Violence
Alagoas,Coruripe,,Bloq. BR-101,Usina Guaxuma,8/2/2011,1000,Cultivo de cana-de-açúc ar,Direitos de FGTS e Seguro Desemprego,FGTS Rights and Unemployment Insurance,,,
Alagoas,Penedo,,Bloq. AL-110,Us. Paisa,17/2/2011,2000,Cultivo de cana-de-açúc ar,Contra o Contrato Safra,Against the Safra Contract,,,
Alagoas,Teotônio Vilela,,Bloq. da BR-101-Greve,Usina Seresta,5/1/2011,1000,Cultivo de cana-de-açúc ar,Quetsões salariais e adicionais,Salary and additional costs,,,
Alagoas,União dos Palmares,,Bloq. BR-104,Us. Laginha,4/4/2011,100,Cultivo de cana-de-açúc ar,Direitos salariais atrasados,Wage arrears,,,
Alagoas,União dos Palmares,,Bloq. BR-101,Us. Laginha,2/6/2011,100,Cultivo de cana-de-açúc ar,Direitos salariais atrasados,Wage arrears,,,
Alagoas,Atalaia,,Bloq. BR-316,Us. Uruba,16/05/2012,40,Cana de açúcar,Pagamento de salários e melhores condições de trabalho,Payment of wages and better working conditions,,,
Alagoas,Atalaia,,Bloq. da BR-101,Us. Uruba,29/05/2012,40,Cana-de-açúc ar,Pagamento de salários,Payment of wages,,,
Alagoas,Coruripe,,Bloq. BR-101,Usina Guaxuma,24/07/2012,300,Cana-de-açúc ar,Pagamento de salários,Payment of wages,,,
Alagoas,Coruripe,,Bloq. BR-101,Usina Guaxuma,09/10/2012,300,Transporte de Trabalhadore s,Pagamento de salários,Payment of wages,,,
Alagoas,Murici/ Messias/ Rio Largo,,Bloq. BR-104,Us. Utinga Leão,27/04/2012,150,Cana-de-açúc ar,Cumprimento de acordo trabalhista,Compliance with labor agreement,,,
Alagoas,Murici/ Messias/ Rio Largo,,Bloq. BR-104,Us. Utinga Leão,03/05/2012,150,Cana-de-açúc ar,Pagamento de salários e FGTS,Payment of salaries and FGTS,,,
Alagoas,Murici/ Messias/ Rio Largo,,Bloq. BR-316,Us. Utinga Leão,04/05/2012,150,Cana-de-açúc ar,Pagamento de salários e FGTS,Payment of salaries and FGTS,,,
Alagoas,União dos Palmares,,Bloq. da BR-104,Usina Laginha,18/05/2012,,Cana-de-açúc ar,Pagamento de salários e férias,Payment of salaries and vacations,,,
Alagoas,União dos Palmares,,Bloq. da BR-104,Us. Laginha,24/05/2012,,Cana-de-açúc ar,Pagamento de salários,Payment of wages,,,
Alagoas,União dos Palmares,,Bloq. da BR-104,Usina Laginha,03/08/2012,50,Cana-de-açúc ar,Pagamento de salários,Payment of wages,,,
Alagoas,União dos Palmares,,Bloq. da BR-104,Usina Laginha,24/08/2012,,Cana-de-açúc ar,Pagamento de salários,Payment of wages,,,
Pernambuco,Aliança/ Timbaúba,,Bloq. BR-408,Us. Cruangi,21/05/2012,1000,Cana-de-açúc ar,Pagamento de salários e outras questões trabalhistas,Payment of wages and other labor issues,,,
Pernambuco,Aliança/ Timbaúba,,Ocup. da Usina Cruangi,Bloq. BR-408,30/07/2012,1800,Cana-de-açúc ar,Salários e desapropriação da área para reforma agrária,Wages and expropriation of the area for agrarian reform,,,
Alagoas,Rio Largo,,Bloq. AL-210,Us. Sta. Clotilde,22/04/2013,30,Cana-de-açúc ar,Pagamento de FGTS,FGTS Payment,,,
Alagoas,Rio Largo,,Bloq. BR-104,Us. Sta. Clotilde,24/12/2013,200,Cana-de-açúc ar,Pagamento de salários,Payment of wages,,,
Alagoas,Teotônio Vilela/ Coruripe,,Bloq. BR-101,Us. Guaxuma,01/04/2013,40,Cana-de-açúc ar,Pagamento de salários,Payment of wages,,,
Goiás,Inhumas,,Bloq. da GO-222,Us. Centroalcool,17/12/2013,,Cana-de-açúc ar,Pagamento de salários,Payment of wages,,,
Minas Gerais,Canápolis/ Ipiaçu,,Bloq. BR- 365,Us. Triaácool,20/06/2013,,Cana-de-açúc ar,Pagamento de salários,Payment of wages,,,
Minas Gerais,Canápolis/ Ipiaçu,,Bloq. BR- 365,Us. Triaácool,20/12/2013,50,Cana-de-açúc ar,Pagamento de salários,Payment of wages,,,
Acre,Rio Branco,,Bloq. de Rodovia,Ramal da Judia,09/03/2004,412,,Regularização fundiária,Land regularization,,,
Alagoas,Atalaia,,"Bloq. pela Liberdade de CésarAparecido",,17/05/2004,650,,Contra a injustiça e a violência,Against injustice and violence,,,
Alagoas,Flexeiras,,Bloq. BR-101,Faz. Bota Velha,28/04/2004,80,,Desapropriação/ Cesta básica,Expropriation/Basic Basket,,,
Alagoas,Flexeiras,,Bloqueio na BR-101,,28/04/2004,250,,Cesta básica,Basic basket,,,
Alagoas,Flexeiras,,Bloqueio na BR-104,,18/08/2004,300,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,,,
Alagoas,Flexeiras,,Bloqueio BR-101,,13/09/2004,150,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,,,
Alagoas,Inhapi,,"Bloq. pela Liberdade de CésarAparecido",,17/05/2004,300,,Contra a injustiça e a violência,Against injustice and violence,,,
Alagoas,Maceió,,Bloqueio na Av. da Paz,,22/06/2004,150,,Desapropriação/ Cesta básica,Expropriation/Basic Basket,,,
Alagoas,Maceió,,Bloq. da Av. Duque de Caxias,,22/07/2004,150,,Desapropriação/ Cesta básica,Expropriation/Basic Basket,,,
Alagoas,Maceió,,Bloq. BR-101,Quilombo dos Palmares,09/12/2004,400,,Regularização fundiária/ Direitos humanos,Land tenure/Human rights,,,
Alagoas,Maragogi,,"Bloq. pela Liberdade de CésarAparecido",,17/05/2004,720,,Contra a injustiça e a violência,Against injustice and violence,,,
Alagoas,Maragogi,,Bloqueio na AL-101 Norte,,09/03/2004,200,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,,,
Alagoas,Maragogi,,Bloqueio na AL-101,,31/05/2004,1000,,Incentivos à pequena produção,Incentives to small production,,,
Alagoas,Maragogi,,Bloqueio na AL-101,,18/08/2004,350,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,,,
Alagoas,Matriz do Camaragibe,,Bloqueio na AL-101,,13/09/2004,400,,Cesta básica/ Reforma Agrária,Basic basket/Agrarian Reform,,,
Alagoas,Messias,,Bloq. BR-101,Faz. Prazeres,03/08/2004,100,,Regularização fundiária,Land regularization,,,
Alagoas,Messias,,Bloq. BR-101,Faz. Prazeres,15/12/2004,50,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,,,
Alagoas,Messias,,Bloqueio na BR-101,,17/05/2004,,,Desapropriação/ Contra a injustiça e a violência,Expropriation/Against injustice and violence,,,
Alagoas,Murici,,"Bloq. pela Liberdade de CésarAparecido",,17/05/2004,480,,Contra a injustiça e a violência,Against injustice and violence,,,
Alagoas,Novo Lino,,Bloqueio na BR-101,,26/02/2004,360,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,,,
Alagoas,Porto Calvo,,Bloqueio da BR-105 Norte c,"AL-105Norte",16/12/2004,,,Desapropriação,Expropriation,,,
Alagoas,Porto Calvo,,Bloqueio na AL-101,,26/02/2004,260,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,,,
Alagoas,Porto Calvo,,Bloqueio na AL-101,,18/08/2004,350,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,,,
Alagoas,Porto Calvo,,Bloqueio na AL-101,,14/11/2004,200,,Desapropriação/ Cesta básica,Expropriation/Basic Basket,,,
Alagoas,Porto Real do Colégio,,Bloq. na BR-101,,26/04/2004,200,,Renegociação de dívidas,Renegotiation of debts,,,
Alagoas,Porto Real do Colégio,,"Bloq. Contra Transposição do SãoFrancisco",,14/10/2004,300,,Contra privatização da água,Against privatization of water,,,
Bahia,Arataca,,Bloq. na BR-101,Faz. Santa Luzia,10/07/2004,150,,Desapropriação,Expropriation,,,
Bahia,Eunápolis,,Bloq. BA-683,Faz. Sta. Maria,25/10/2004,400,,Desapropriação,Expropriation,,,
Bahia,Ilhéus,,Bloqueio na BR-415,,16/05/2004,200,,Desapropriação,Expropriation,,,
Bahia,Itabela,,Bloq. na BR-101,Tribo Pataxó,19/10/2004,300,,Demarcação de área indígena,Demarcation of indigenous area,,,
Bahia,Itabuna,,Bloq. na BR-101,Acamp. 1o de Maio,06/08/2004,200,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,,,
Ceará,Canindé,,Bloqueio da BR-020,,13/07/2004,1500,,Crédito/ Incentivos à pequena produção,Small Production Credit/Incentives,,,
Distrito Federal,Planaltina,,Bloq. da BR-020,Faz. Toca da Raposa,10/11/2004,350,,Desapropriação/ Questões ambientais,Expropriation/Environmental issues,,,
Espírito Santo,Mimoso do Sul,,Bloqueio da ES-297,,13/05/2004,200,,Desapropriação/ Assentamento de famílias,Expropriation/Settlement of families,,,
Espírito Santo,São Mateus,,Bloqueio da BR-101,Aracruz,08/03/2004,700,,Regularização fundiária/ Contra monocultura,Land regularization/Against monoculture,,,
Goiás,Uruaçu,,Bloq. da BR-153,Serra da Mesa,17/03/2004,1000,,Crédito/ Cesta básica/ Indenização,Credit/Basic Basket/Indemnity,,,
Maranhão,Arame,,Bloq. da MA - 006,Aldeia Ind. Caruru,25/05/2004,20,,Contra Desmatamento,Against Deforestation,,,
Maranhão,Barra do Corda,,Bloqueio da BR-226,Km 320,24/01/2004,100,,Direitos humanos,Human rights,,,
Mato Grosso,,,Bloqueio da BR-158,"AldeiaMarãiwatsedé",01/08/2004,480,,Saúde/ Demarcação de área indígena,Indigenous Area Health/Demarcation,,,
Mato Grosso,Cáceres,,Bloqueio da BR-174,"Acamp. RosaLuxemburgo",19/04/2004,500,,Desapropriação/ Contra a injustiça e a violência/ Contra impunidade,Expropriation/Against injustice and violence/Against impunity,,,
Mato Grosso,Cáceres,,Bloqueio da BR-070,Jornada de Luta,19/04/2004,700,,Desapropriação/ Contra a injustiça e a violência/ Contra impunidade,Expropriation/Against injustice and violence/Against impunity,,,
Mato Grosso,Cáceres,,Bloqueio de Rodovias,"Acamp. LourivalAbich",20/05/2004,800,,Desapropriação/ Cumprimento de acordos,Expropriation/Compliance,,,
Mato Grosso,Cáceres,,Bloqueio da BR-174,"Faz. SantaAmélia",20/05/2004,700,,Cumprimento de acordos/ Reforma Agrária,Compliance/Agrarian Reform,,,
Mato Grosso,Campo Verde,,Bloqueio da BR-070,,20/10/2004,400,,Desapropriação/ Cumprimento de acordos,Expropriation/Compliance,,,
Mato Grosso,Campo Verde,,Bloqueio da BR-070,"Faz. Boaesperança",17/08/2004,300,,Desapropriação/ Cumprimento de acordos,Expropriation/Compliance,,,
Mato Grosso,Chapada dos Guimarães,,Bloqueio da MT-251,"Faz. CachoeiraRica",05/03/2004,150,,Regularização fundiária/ Cumprimento de acordos,Land regularization/Compliance,,,
Mato Grosso,Mirassol do Oeste,,Bloqueio da BR-174,"Acamp. SílvioRodrigues",19/04/2004,500,,Desapropriação/ Contra a injustiça e a violência/ Contra impunidade,Expropriation/Against injustice and violence/Against impunity,,,
Mato Grosso,Nova Olímpia,,Bloqueio de Rodovia,"Acamp. OzielPereira",26/01/2004,200,,Contra a injustiça e a violência,Against injustice and violence,,,
Mato Grosso,Peixoto de Azevedo,,Bloqueio da BR-163,,19/07/2004,1000,,Regularização fundiária/ Cumprimento de acordos,Land regularization/Compliance,,,
Mato Grosso,Peixoto de Azevedo,,Bloqueio da BR-163,,21/07/2004,1000,,Regularização fundiária/ Cumprimento de acordos,Land regularization/Compliance,,,
Mato Grosso,Peixoto de Azevedo,,Bloqueio da BR-163,,24/07/2004,1000,,Regularização fundiária/ Cumprimento de acordos,Land regularization/Compliance,,,
Mato Grosso,Rio Branco,,Bloqueio de Rodovia,"Acamp. Pe. JoséTen Cate",26/01/2004,60,,Contra a injustiça e a violência,Against injustice and violence,,,
Mato Grosso,Sinop,,Bloqueio da BR-163,"Acamp. NovaAliança",29/01/2004,150,,Desapropriação/ Cumprimento de acordos/ Cesta básica,Expropriation/Compliance/Basic basket,,,
Mato Grosso,Várzea Grande,,Bloqueio da BR-164,"Acamp. ChicoMendes",20/05/2004,200,,Desapropriação/ Cumprimento de acordos,Expropriation/Compliance,,,
Mato Grosso do Sul,Bataguassu,,Ato por Ref. Agrária,"Dia doTrabalho",01/05/2004,,,Questões trabalhistas/ Reforma Agrária,Labor Issues/Agrarian Reform,,,
Mato Grosso do Sul,Corumbá,,Bloq. na BR-262,"Acamp. Grito pelaTerra",09/03/2004,400,,Desapropriação,Expropriation,,,
Mato Grosso do Sul,Corumbá,,Bloq. na BR-262,"Acamp. Grito pelaTerra",12/04/2004,400,,Desapropriação,Expropriation,,,
Mato Grosso do Sul,Corumbá,,Bloq. na BR-262,"Acamp. Grito pelaTerra",24/07/2004,400,,Desapropriação/ Cumprimento de acordos/ Cesta básica,Expropriation/Compliance/Basic basket,,,
Mato Grosso do Sul,Douradina,,Bloq. na MS-476,Lagoa Rica,19/11/2004,300,,Infra-estrutura,Infrastructure,,,
Mato Grosso do Sul,Dourados,,Bloq. da MS-156,Protesto Indígena,19/04/2004,5000,,Demarcação de área indígena,Demarcation of indigenous area,,,
Mato Grosso do Sul,Dourados,,Bloqueio da MS-156,,27/12/2004,60,,Saúde,Cheers,,,
Mato Grosso do Sul,Dourados,,Bloqueio da BR-463,,23/04/2004,50,,Sem Informação,No information,,,
Mato Grosso do Sul,Eldorado,,Bloqueio na BR-163,Saque,02/07/2004,400,,Cesta básica,Basic basket,,,
Mato Grosso do Sul,Ivinhema,,Bloq. da MS-141,Faz. Terra Prometida,09/11/2004,180,,Desapropriação,Expropriation,,,
Mato Grosso do Sul,Jardim,,Bloqueio da BR-267,,27/07/2004,100,,Desapropriação,Expropriation,,,
Mato Grosso do Sul,Naviraí,,Bloq. da MS-145,Faz. Araguaia,16/03/2004,200,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,,,
Mato Grosso do Sul,Nova Alvorada do Sul,,Ato por Ref. Agrária,"Dia doTrabalho",01/05/2004,180,,Questões trabalhistas/ Reforma Agrária,Labor Issues/Agrarian Reform,,,
Mato Grosso do Sul,Almenara,,"Bloqueio de Estrada pela ReformaAgrária",,10/11/2004,100,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,,,
Mato Grosso do Sul,Araguari,,Bloqueio da BR-050,,10/11/2004,200,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,,,
Mato Grosso do Sul,Betim,,Jornada Nacional de Luta,"Bloqueio daCentro Atlântico",16/04/2004,400,,Desapropriação/ Contra impunidade,Expropriation/Against impunity,,,
Mato Grosso do Sul,,,"Bloqueio da BR-116 contra oMassacre de Felisburgo",,21/11/2004,400,,Contra a injustiça e a violência/ Contra impunidade,Against injustice and violence/Against impunity,,,
Mato Grosso do Sul,Juatuba,,"Bloqueio da BR-050 contra oMassacre de Felisburgo",,21/11/2004,150,,Contra a injustiça e a violência/ Contra impunidade,Against injustice and violence/Against impunity,,,
Mato Grosso do Sul,Montes Claros,,"Bloqueio da BR-251 contra oMassacre de Felisburgo",,21/11/2004,50,,Contra a injustiça e a violência/ Contra impunidade,Against injustice and violence/Against impunity,,,
Pará,Castanhal,,Bloq. BR-316,Desap. Faz. Urucuzal,19/02/2004,1150,,Desapropriação,Expropriation,,,
Pará,Curionópolis,,Bloqueio da BR-153,"Gar. SerraPelada",14/04/2004,1000,,Indenização,Indemnity,,,
Pará,Eldorado dos Carajás,,Bloq. na PA-150,Faz. Peruano,02/11/2004,1500,,Cesta básica,Basic basket,,,
Pará,Irituia,,Bloq. da Belém Brasília,Quintino Lira,12/04/2004,400,,Desapropriação/ Cesta básica,Expropriation/Basic Basket,,,
Pará,Mãe do Rio,,Bloq. Belém Brasília,Faz. Reunidas,22/07/2004,400,,Desapropriação,Expropriation,,,
Pará,Marabá,,Bloq. PA-150,"Acamp.Cabaceira",12/04/2004,50,,Desapropriação/ Contra a injustiça e a violência,Expropriation/Against injustice and violence,,,
Pará,Rondon do Pará,,Bloq. da PA-287,Marcha,12/04/2004,600,,Desapropriação/ Crédito,Expropriation/Credit,,,
Pará,Santa Bárbara do Pará,,Bloqueio da PA-391,Área da Denpasa,16/11/2004,,,Desapropriação,Expropriation,,,
Pará,Santa Isabel do Pará,,Bloq. BR-316,Marcha,09/04/2004,500,,Desapropriação/ Contra a injustiça e a violência,Expropriation/Against injustice and violence,,,
Pará,Santa Maria das Barreiras,,Bloq. BR-158,Faz. Inajaporã,11/06/2004,400,,Desapropriação/ Cesta básica,Expropriation/Basic Basket,,,
Pará,São Domingos do Capim,,Bloq. BR-316,Res. Indígena Tembé,23/08/2004,400,,Reassentamento,Resettlement,,,
Pará,,,Bloq. da Transamazônica,Marcha,12/04/2004,900,,Desapropriação,Expropriation,,,
Paraíba,Cajazeiras,,Bloq. BR-230,"Protesto contra Prisãode Arlindo Salvador",19/08/2004,100,,Contra a injustiça e a violência,Against injustice and violence,,,
Paraíba,Cajazeiras,,Bloqueio da BR-230,,31/05/2004,1000,,Educação,Education,,,
Paraíba,Campina Grande,,Bloqueio da BR-230,"Distrito de São J.da Mata",09/11/2004,500,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,,,
Paraíba,Esperança,,Bloqueio BR-104 Norte,,28/05/2004,600,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,,,
Paraíba,João Pessoa,,Bloqueio da BR-101,,09/11/2004,200,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,,,
Paraíba,Patos,,Bloqueio BR-230,,09/11/2004,500,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,,,
Paraná,Candói,,Bloq. BR-277,Faz. Campo Real,30/08/2004,1000,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,,,
Paraná,Foz do Jordão,,Bloqueio da PR-662,Faz. Trombini,12/07/2004,300,,Desapropriação,Expropriation,,,
Paraná,Ponta Grossa,,Bloq. BR-376,Chacina em MG,20/12/2004,250,,Contra a injustiça e a violência,Against injustice and violence,,,
Pernambuco,Araçoiaba,,Bloq. PE-41,Eng. Prado,17/10/2004,1400,,Desapropriação/ Contra a injustiça e a violência/ Reforma Agrária,Expropriation/Against injustice and violence/Agrarian Reform,,,
Pernambuco,Bonito,,Bloqueio da PE-103,,20/04/2004,,,Reforma Agrária,Land reform,,,
Pernambuco,Cabo de Santo Agostinho,,Bloq. BR-101,"Engs.Olinda",05/03/2004,150,,Desapropriação,Expropriation,,,
Pernambuco,Cabo de Santo Agostinho,,Bloq.BR-101,Engs. Universo,06/06/2004,100,,Desapropriação,Expropriation,,,
Pernambuco,Cabo de Santo Agostinho,,Bloq. BR-101,"Engs.Universo",12/10/2004,300,,Desapropriação,Expropriation,,,
Pernambuco,Cabo de Santo Agostinho,,Bloqueio da BR-101,,18/08/2004,150,,Desapropriação,Expropriation,,,
Pernambuco,Cabo de Santo Agostinho,,Bloqueio BR-101,Eng. Mauá,07/06/2004,100,,Desapropriação,Expropriation,,,
Pernambuco,Cabo de Santo Agostinho,,Bloqueio da BR-101,,13/10/2004,300,,Desapropriação,Expropriation,,,
Pernambuco,Caruaru,,Bloq. BR-104,Desap. Faz. Borba,19/07/2004,200,,Desapropriação,Expropriation,,,
Pernambuco,Caruaru,,Bloqueio da BR-104,,20/07/2004,100,,Desapropriação,Expropriation,,,
Pernambuco,Escada,,Bloq. BR-101,Engs. Universo,11/06/2004,50,,Desapropriação,Expropriation,,,
Pernambuco,Escada,,Bloqueio da BR-101,,13/08/2004,300,,Cesta básica/ Reforma Agrária,Basic basket/Agrarian Reform,,,
Pernambuco,Gameleira,,Bloqueio da BR-101,,13/08/2004,800,,Cesta básica/ Reforma Agrária,Basic basket/Agrarian Reform,,,
Pernambuco,Ipojuca,,Bloq. BR-101,Ref. Agrária,13/10/2004,300,,Desapropriação/ Cesta básica/ Reforma Agrária,Expropriation/Basic Basket/Agrarian Reform,,,
Pernambuco,Panelas,,Bloqueio da PE-104,,10/03/2004,1500,,Desapropriação,Expropriation,,,
Pernambuco,Panelas,,Bloqueio da BR-104,Vistoria,02/10/2004,500,,Desapropriação,Expropriation,,,
Pernambuco,Pombos,,Bloqueio da BR-232,,06/04/2004,400,,Desapropriação,Expropriation,,,
Pernambuco,Quipapá,,Bloqueio da BR-104,,30/07/2004,100,,Reforma Agrária,Land reform,,,
Pernambuco,Recife,,Bloqueio da entrada do Incra,,30/03/2004,300,,Desapropriação/ Infra-estrutura/ Cumprimento de acordos,Expropriation/Infrastructure/Compliance,,,
Pernambuco,Recife,,Grito da Terra,"Bloq.Av.Caxangá",19/05/2004,500,,Crédito/ Cesta básica,Credit/Basic Basket,,,
Pernambuco,Recife,,Bloqueio da BR-104 e PE-117,,24/05/2004,1800,,Desapropriação,Expropriation,,,
Pernambuco,São Caitano,,Bloqueio da BR-232,,13/08/2004,600,,Cesta básica/ Reforma Agrária,Basic basket/Agrarian Reform,,,
Pernambuco,São José da Coroa Grande,,Bloq. da PE-60,Us. Central Barreiros,16/12/2004,150,,Desapropriação/ Contra a injustiça e a violência,Expropriation/Against injustice and violence,,,
Pernambuco,São José da Coroa Grande,,Bloqueio da PE-90,,18/08/2004,200,,Desapropriação,Expropriation,,,
Pernambuco,São José da Coroa Grande,,Bloqueio da PE-60,,31/05/2004,,,Crédito/ Cumprimento de acordos,Credit/Compliance,,,
Pernambuco,São Lourenço da Mata,,Bloqueio da BR-408,,13/08/2004,800,,Cesta básica/ Reforma Agrária,Basic basket/Agrarian Reform,,,
Pernambuco,Vitória de Santo Antão,,Bloqueio BR-232,Vist. de 108 áreas,12/09/2004,300,,Desapropriação,Expropriation,,,
Piauí,Teresina,,Data S. José do Junco,"Bloq. da BR -316",23/04/2004,250,,Contra a injustiça e a violência,Against injustice and violence,,,
Rio de Janeiro,Campos dos Goytacazes,,Bloqueio da BR-101,,09/09/2004,50,,Desapropriação/ Cumprimento de acordos,Expropriation/Compliance,,,
Rio de Janeiro,Mangaratiba,,Bloqueio da Rodovia Rio-Santos,,09/09/2004,50,,Desapropriação/ Cumprimento de acordos,Expropriation/Compliance,,,
Rio Grande do Norte,Mossoró,,Bloqueio da BR-304,"Assent. Angicos Ie II",02/04/2004,500,,Infra-estrutura/ Reforma Agrária,Infrastructure/Agrarian Reform,,,
Rio Grande do Norte,Mossoró,,Bloq. BR-304,Ref. Agrária,10/11/2004,150,,Desapropriação/ Cumprimento de acordos,Expropriation/Compliance,,,
Rio Grande do Sul,Arroio dos Ratos,,Bloq. BR-290,Área em Monte Bonito,06/04/2004,400,,Desapropriação/ Cesta básica,Expropriation/Basic Basket,,,
Rio Grande do Sul,Barracão,,Bloq. BR-470,Seca,22/04/2004,500,,Crédito,Credit,,,
Rio Grande do Sul,Benjamin Constant do Sul,,Bloq. RS-487,Índios Caingangues,19/10/2004,,,Contra a injustiça e a violência,Against injustice and violence,,,
